"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"2747","Income Distribution and Macroeconomics",5,60,1,18,"Oded Galor","Joseph Zeira","","","","Galor","OtherAuthor","","","",2
"2748","Income Distribution and Sociopolitical Instability as Determinants of Savings: A",2,93,4,11,"Yiannis P. Venieris","Dipak K. Gupta","","","","OtherAuthor","OtherAuthor","","","",2
"2749","Income Distribution and the Aggregate Consumption Function",2,88,3,22,"Philip Musgrove","","","","","OtherAuthor","","","","",1
"2750","Income Distribution, Communities, and the Quality of Public Education",3,111,1,30,"Raquel Fernandez","Richard Rogerson","","","","Fernandez17","OtherAuthor","","","",2
"2751","Income Distribution, Lifetime Savings, and Bequests",1,73,4,19,"Paul L. Menchik","Martin David","","","","Menchik","OtherAuthor","","","",2
"2752","Income Distribution, Market Size, and Industrialization",3,104,3,28,"Kevin M. Murphy","Andrei Shleifer","Robert Vishny","","","Murphy3","Shleifer","OtherAuthor","","",3
"2753","Income Inequality and Choice of Free Trade in a Model of Intraindustry Trade",3,111,1,24,"Ronald D. Fischer","Pablo Serra","","","","OtherAuthor","OtherAuthor","","","",2
"2754","Income Inequality in the United States, 1913-1998",3,118,1,39,"Thomas Piketty","Emmanuel Saez","","","","OtherAuthor","Saez","","","",2
"2755","Income Inequality Indices and Deprivation: A Generalization",3,100,3,4,"Z. M. Berrebi","Jacques Silber","","","","OtherAuthor","OtherAuthor","","","",2
"2756","Income Maintenance Schemes Under Wage-Rate Uncertainty",1,71,4,12,"Frank A. Cowell","","","","","Sloan22","","","","",1
"2757","Income Redistribution in a Common Labor Market",1,81,4,18,"David E. Wildasin","","","","","OtherAuthor","","","","",1
"2758","Income Redistribution in a Federal System",1,78,3,4,"William R. Johnson","","","","","Johnson24","","","","",1
"2759","Income Risk, Borrowing Constraints, and Portfolio Choice",1,86,1,15,"Luigi Guiso","Tullio Jappelli","Daniele Terlizzese","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2760","Income Tax Deductions for Losses as Insurance",1,82,4,5,"Louis Kaplow","","","","","OtherAuthor","","","","",1
"2761","Income Taxes and the Provision of Public Goods: Existence of an Optimum",4,69,3,14,"Marcus Berliant","Frank H. Jr. Page","","","","Berliant","OtherAuthor","","","",2
"2762","Income Uncertainty and Ricardian Equivalence",1,85,4,4,"Michel Strawczynski","","","","","OtherAuthor","","","","",1
"2763","Income, Consumption, and Wage Taxation in a Life-Cycle Model: Separating Efficie",1,81,4,11,"Jane G. Gravelle","","","","","OtherAuthor","","","","",1
"2764","Income, Labor Supply, and Urban Residence",1,70,4,7,"John S. Hekman","","","","","OtherAuthor","","","","",1
"2765","Income, Schooling, and Ability: Evidence from a New Sample of Identical Twins",3,113,1,32,"Orley Ashenfelter","Cecilia Rouse","","","","Ashenfelter","OtherAuthor","","","",1
"2766","Income, Wealth, and Household Demand for Deposits",1,83,4,11,"William A. Bomberger","","","","","OtherAuthor","","","","",1
"2767","Income-Leisure Tradeoffs of Animal Workers",1,71,4,12,"Raymond C. Battalio","Leonard Green","John H. Kagel","","","Battalio","OtherAuthor","KAGEL32","","",3
"2768","Incomplete Contracts and Renegotiation",4,56,4,31,"Oliver Hart","John Moore","","","","Hart1","OtherAuthor","","","",2
"2769","Incomplete Contracts and Strategic Ambiguity",1,88,4,31,"B. Douglas Bernheim","Michael D. Whinston","","","","Bernheim","Whinston","","","",2
"2770","Incomplete Contracts, Specific Investments, and Risk Sharing",5,58,5,12,"Tai-Yeong Chung","","","","","OtherAuthor","","","","",1
"2771","Incomplete Contracts, Vertical Integration, and Supply Assurance",5,60,1,28,"Patrick Bolton","Michael D. Whinston","","","","Bolton5","Whinston","","","",2
"2772","Incomplete Contracts: Where do We Stand?",4,67,4,41,"Jean Tirole","","","","","OtherAuthor","","","","",1
"2773","Incomplete Information Bargaining with Outside Opportunities",3,102,1,14,"Drew Fudenberg","David K. Levine","Jean Tirole","","","Fundenberg","Levine11","OtherAuthor","","",3
"2774","Incomplete Information, Risk Shifting, and Employment Fluctuations",5,48,2,9,"Herschel I. Grossman","","","","","Grossman23","","","","",1
"2775","Incomplete Learning from Endogenous Data in Dynamic Allocation",4,68,6,6,"Monica Brezzi","Tze Leung Lai","","","","OtherAuthor","OtherAuthor","","","",2
"2776","Incomplete Mechanisms and Efficient Allocation in Labour Markets",5,58,5,29,"Douglas Gale","","","","","Gale17","","","","",1
"2777","Incomplete Simultaneous Discrete Response Model with Multiple Equilibria",5,70,1,19,"Elie Tamer","","","","","Tamer","","","","",1
"2778","Incomplete Written Contracts: Undescribable States of Nature",3,109,4,40,"Luca Anderlini","Leonardo Felli","","","","OtherAuthor","OtherAuthor","","","",2
"2779","Inconsistency of the Bootstrap when a Parameter is on the Boundary of the Parame",4,68,2,7,"Donald W. K. Andrews","","","","","andrews6","","","","",1
"2780","Inconsistent Equilibrium Constructs: The Evenly Rotating Economy of Mises and Ro",1,75,4,4,"Tyler Cowen","Richard Fink","","","","OtherAuthor","OtherAuthor","","","",2
"2781","Incorporating Fairness into Game Theory and Economics",1,83,5,22,"Matthew Rabin","","","","","Rabin7","","","","",1
"2782","Increasing Competition and the Winner’s Curse: Evidence from Procurement",5,69,4,28,"Matthew Shum","Han Hong","","","","Shum","OtherAuthor","","","",2
"2783","Increasing Downside Risk",1,70,5,12,"C. Menezes","C. Geiss","J. Tressler","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2784","Increasing Returns and All That: A View from Trade",1,92,1,27,"Werner Antweiler","Daniel Trefler","","","","OtherAuthor","OtherAuthor","","","",2
"2785","Increasing Returns and Animal Spirits",1,79,4,6,"Philippe Weil","","","","","OtherAuthor","","","","",1
"2786","Increasing Returns and Economic Geography",2,99,3,17,"Paul Krugman","","","","","Krugman","","","","",1
"2787","Increasing Returns and Long-Run Growth",2,93,5,36,"Paul M. Romer","","","","","OtherAuthor","","","","",1
"2788","Increasing Returns in Infinite-Horizon Economies",5,64,1,24,"Chris Shannon","","","","","Shannon","","","","",1
"2789","Increasing Returns to Scale in Financial Intermediation and the Non- Neutrality",5,53,5,13,"Stephen D. Williamson","","","","","Williamson30","","","","",1
"2790","Increasing Returns Versus National Product Differentiation as an Explanation for",1,91,4,19,"Keith Head","John Ries","","","","OtherAuthor","OtherAuthor","","","",2
"2791","Increasing Returns, Industrialization, and Indeterminacy of Equilibrium",3,106,2,34,"Kiminori Matsuyama","","","","","Matsuyama","","","","",1
"2792","Increasing Returns, Public Inputs, and International Trade",1,78,4,2,"Suezo Ishizawa","","","","","OtherAuthor","","","","",1
"2793","Increasing the Profits of a Subset of Firms in Oligopoly Models with Strategic S",1,81,3,8,"Gerard Gaudet","Stephen W. Salant","","","","OtherAuthor","SALANT","","","",2
"2794","Incumbent Behavior: Vote-Seeking, Tax-Setting, and Yardstick Competition",1,85,1,21,"Timothy Besley","Anne Case","","","","OtherAuthor","OtherAuthor","","","",2
"2795","Independence of Allocative Efficiency from Distribution in the Theory of Public",4,51,6,14,"Theodore C. Bergstrom","Richard C. Cornes","","","","OtherAuthor","OtherAuthor","","","",2
"2796","Independence, Monotonicity, and Latent Index Models: An Equivalence Result",4,70,1,11,"Edward Vytlacil","","","","","Vytlacil","","","","",1
"2797","Indeterminacy of Equilibria in a Hyperinflationary World: Experimental Evidence",4,61,5,35,"Ramon Marimon","Shyam Sunder","","","","OtherAuthor","sunder","","","",2
"2798","Indeterminacy Under Constant Returns to Scale in Multisector Economies",4,68,6,8,"Jess Benhabib","Qinglai Meng","Kazuo Nishimura","","","Benhabib","OtherAuthor","OtherAuthor","","",3
"2799","Indexation, Inflationary Finance, and Hyperinflation: The 1945-1946 Hungarian Ex",2,88,3,11,"W. A. Bomberger","G. E. Makinen","","","","OtherAuthor","OtherAuthor","","","",2
"2800","Indirect Methods for Regulating Externalities Under Uncertainty",3,100,2,15,"Evan F. Koenig","","","","","OtherAuthor","","","","",1
"2801","Individual and Collective Time-Consistency",5,64,3,17,"Geir B. Asheim","","","","","OtherAuthor","","","","",1
"2802","Individual Effects in a Nonlinear Model: Explicit Treatment of Heterogeneity in",4,49,4,15,"Nicholas M. Kiefer","George R. Neumann","","","","KIEFER","Neumann30","","","",2
"2803","Individual Income, Incomplete Information, and Aggregate Consumption",4,63,4,36,"Jorn-Steffen Pischke","","","","","OtherAuthor","","","","",1
"2804","Individual Monotonicity and Lexicographic Maxmin Solution",4,51,2,14,"Haruo Imai","","","","","OtherAuthor","","","","",1
"2805","Individual Monotonicity and Lexigraphic Maxmin Solution",4,51,5,1,"Haruo Imai","","","","","OtherAuthor","","","","",1
"2806","Individual Risk and Mutual Insurance",4,64,2,9,"David Cass","Graciela Chichilnisky","Ho-Mou Wu","","","Cass","CHICHILNISKY","OtherAuthor","","",3
"2807","Individual Risk in an Investment-Based Social Security System",1,91,4,10,"Martin Feldstein","Elena Ranguelova","","","","Feldstein1","OtherAuthor","","","",2
"2808","Individual Sense of Justice: A Utility Representation",4,70,1,22,"Edi Karni","Zvi Safra","","","","Karni","OtherAuthor","","","",2
"2809","Induced Bias of Technical Change in Agriculture: The United States and Japan, 18",2,93,3,22,"Toshihiko Kawagoe","Keijiro Otsuka","Yujiro Hayami","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2810","Induced Innovation and Energy Prices",1,92,1,21,"David Popp","","","","","OtherAuthor","","","","",1
"2811","Induced Innovation in American Agiculture: A Reconsideration",2,101,1,19,"Alan L. Olmstead","Paul Rhode","","","","OtherAuthor","Rhode","","","",2
"2812","Inductive Inference: An Axiomatic Approach",4,71,1,26,"Itzhak Gilboa","David Schmeidler","","","","OtherAuthor","SCHMEIDLER","","","",2
"2813","Industrial Development and the Convergence Question",1,88,5,13,"Marvin Goodfriend","John McDermott","","","","OtherAuthor","OtherAuthor","","","",2
"2814","Industrial Development in Cities",2,103,5,24,"Vernon Henderson","Ari Kuncoro","Matt Turner","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2815","Industrialization and the Big Push",2,97,5,24,"Kevin M. Murphy","Andrei Shleifer","Robert W. Vishny","","","Murphy3","Shleifer","OtherAuthor","","",3
"2816","Industrialization, Deindustrialization, and North-South Trade",1,77,5,2,"Andre Burgstaller","","","","","OtherAuthor","","","","",1
"2817","Industry Differences in the Persistence of Firm-Specific Returns",1,86,5,13,"Geoffrey F. Waring","","","","","OtherAuthor","","","","",1
"2818","Industry Structure and Cost-Reducing Investment",4,48,5,24,"M. Therese Flaherty","","","","","OtherAuthor","","","","",1
"2819","Industry Structure with Fluctuating Demand",1,75,4,10,"David E. Mills","Laurence Schumann","","","","Mills24","OtherAuthor","","","",2
"2820","Inequality Among World Citizens: 1820-1992",1,92,4,17,"Francois Bourguignon","Christian Morrisson","","","","OtherAuthor","OtherAuthor","","","",2
"2821","Inequality Decomposition by Factor Components",4,50,1,20,"A. F. Shorrocks","","","","","OtherAuthor","","","","",1
"2822","Inequality Decomposition by Population Subgroups",4,52,6,18,"Anthony F. Shorrocks","","","","","OtherAuthor","","","","",1
"2823","Inequality in the Local Public Sector,",2,90,1,18,"Sam Bucovetsky","","","","","OtherAuthor","","","","",1
"2824","Inequality Measures between Income Distributions with Applications",4,48,7,13,"Camilo Dagum","","","","","OtherAuthor","","","","",1
"2825","Inequality Within and Between Families,",2,90,1,23,"Eytan Sheshinski","Yoram Weiss","","","","OtherAuthor","OtherAuthor","","","",2
"2826","Infant-Industry Protection Reconsidered: The Case of Informational Barriers to E",3,103,4,21,"Gene M. Grossman","Henrik Horn","","","","Grossman5","OtherAuthor","","","",2
"2827","Inference by Believers in the Law of Small Numbers",3,117,3,42,"Matthew Rabin","","","","","Rabin7","","","","",1
"2828","Inference Concerning the Number of Factors in a Multivariate Nonparametric Relat",4,65,1,29,"Stephen G. Donald","","","","","Donald31","","","","",1
"2829","Inference in Arch and Garch Models with Heavy–Tailed Errors",4,71,1,33,"Peter Hall","Qiwei Yao","","","","OtherAuthor","OtherAuthor","","","",2
"2830","Inference in Linear Time Series Models with some Unit Roots",4,58,1,32,"Christopher A. Sims","James H. Stock","Mark W. Watson","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2831","Inference in Nonlinear Econometric Models with Structural Change",5,55,4,25,"Donald W. K. Andrews","Ray C. Fair","","","","andrews6","fair","","","",2
"2832","Inference on Regressions with Interval Data on a Regressor or Outcome",4,70,2,28,"Charles F. Manski","Elie Tamer","","","","Manski","Tamer","","","",2
"2833","Inference on Structural Parameters in Instrumental Variables Regression with Wea",4,66,6,16,"Jiahui Wang","Eric Zivot","","","","OtherAuthor","Zivot","","","",2
"2834","Inference on the Quantile Regression Process",4,70,4,30,"Roger Koenker","Zhijie Xiao","","","","Koenker","Xiao","","","",2
"2835","Inference When a Nuisance Parameter Is Not Identified Under the Null Hypothesis",4,64,2,18,"Bruce E. Hansen","","","","","Hansen15","","","","",1
"2836","Inferences Concerning Labor Supply Behavior Based on Limited-Duration Experiment",1,72,3,10,"Gary Burtless","David Greenberg","","","","OtherAuthor","OtherAuthor","","","",2
"2837","Inference-Without-Smoothing in the Presence of Nonparametric Autocorrelation",4,66,5,20,"P. M. Robinson","","","","","OtherAuthor","","","","",1
"2838","Inferential Procedures in Stable Distributions for Class Frequency Data on Incom",4,48,5,10,"Herman K. van Dijk","Teun Kloek","","","","OtherAuthor","OtherAuthor","","","",2
"2839","Inferential Theory for Factor Models of Large Dimensions",4,71,1,37,"Jushan Bai","","","","","Bai17","","","","",1
"2840","Infinite Horizon Incomplete Markets",4,62,4,28,"Michael Magill","Martine Quinzii","","","","OtherAuthor","OtherAuthor","","","",2
"2841","Infinite Horizon Programs",4,49,3,33,"Michael J. P. Magill","","","","","OtherAuthor","","","","",1
"2842","Inflation and Asset Prices in an Exchange Economy",4,54,3,22,"Jean-Pierre Danthine","John B. Donaldson","","","","OtherAuthor","OtherAuthor","","","",2
"2843","Inflation and Currency Reform",2,93,3,24,"Laura LaHaye","","","","","OtherAuthor","","","","",1
"2844","Inflation and Efficiency in Search Markets",5,59,2,31,"Roland Benabou","","","","","Benabou","","","","",1
"2845","Inflation and Reputation",1,75,3,9,"David Backus","John Driffill","","","","OtherAuthor","OtherAuthor","","","",2
"2846","Inflation and Stabilization in Latin America",2,90,2,2,"Roque B. Fernandez","","","","","OtherAuthor","","","","",1
"2847","Inflation and the Stock Market",1,70,5,9,"Martin Feldstein","","","","","Feldstein1","","","","",1
"2848","Inflation and Welfare",4,68,2,28,"Robert E. Lucas, Jr.","","","","","Lucas3","","","","",1
"2849","Inflation and Welfare in the Steady State,",2,90,3,17,"Boyan Jovanovic","","","","","Jovanovic","","","","",1
"2850","Inflation Expectations and Money Growth in the United States",1,70,1,13,"Donald J. Mullineaux","","","","","OtherAuthor","","","","",1
"2851","Inflation Expectations and the Demand for Housing",1,72,1,11,"Robert M. Schwab","","","","","Schwab20","","","","",1
"2852","Inflation Is Always and Everywhere a Monetary Phenomenon: Richmond vs. Houston i",1,91,5,10,"Richard C. K. Burdekin","Marc D. Weidenmier","","","","OtherAuthor","OtherAuthor","","","",2
"2853","Inflation Persistence",3,110,1,33,"Jeff Fuhrer","George Moore","","","","OtherAuthor","OtherAuthor","","","",2
"2854","Inflation Uncertainty and the Phillips Curve: Some Empirical Evidence",1,70,5,6,"Maurice D. Levi","John H. Makin","","","","OtherAuthor","OtherAuthor","","","",2
"2855","Inflation Variability and Gradualist Monetary Policy",5,61,4,18,"Ronald J. Balvers","Thomas F. Cosimano","","","","OtherAuthor","OtherAuthor","","","",2
"2856","Inflation, Corporate Income Taxation, and the Demand for Capital Assets, pp",2,89,1,10,"Richard W. Kopcke","","","","","OtherAuthor","","","","",1
"2857","Inflation, Employment, and the Dutch Disease in Oil-Exporting Countries: A Short",3,99,2,18,"Sweder Van Wijnbergen","","","","","OtherAuthor","","","","",1
"2858","Inflation, Fixed Cost of Price Adjustment, and Measurement of Relative-Price Var",1,77,4,10,"Leif Danziger","","","","","OtherAuthor","","","","",1
"2859","Inflation, Housing Costs, and the Consumer Price Index",1,72,1,11,"Ann Dougherty","Robert Van Order","","","","OtherAuthor","OtherAuthor","","","",2
"2860","Inflation, Interest Rates, and Welfare",3,100,3,19,"Paul R. Krugman","Torsten Persson","Lars E. O. Svensson","","","Krugman","OtherAuthor","Svensson","","",3
"2861","Inflation, Real Balances, Output, and Real Stock Returns",1,75,5,9,"Jason Benderly","Burton Zwick","","","","OtherAuthor","OtherAuthor","","","",2
"2862","Inflation, Tax Rules and Investment: Some Econometric Evidence",4,50,4,38,"Martin Feldstein","","","","","Feldstein1","","","","",1
"2863","Inflation, Taxation, and Corporate Behavior",3,99,2,15,"Roger H. Gordon","","","","","Gordon16A","","","","",1
"2864","Inflation: Causes and Effects",2,92,3,6,"Jeremy Greenwood","","","","","Greenwood13","","","","",1
"2865","Inflationary Consequences of Anticipated Macroeconomic Policies",5,57,1,18,"Allan Drazen","Elhanan Helpman","","","","Drazen","Helpman","","","",2
"2866","Inflationary Expectations, Economic Activity, Taxes, and Interest Rates",1,70,1,10,"Vito Tanzi","","","","","OtherAuthor","","","","",1
"2867","Inflexible Prices and Procyclical Productivity",3,105,4,24,"Julio J. Rotemberg","Lawrence H. Summers","","","","OtherAuthor","Summers1","","","",2
"2868","Inflexible Rules in Incentive Problems",1,79,1,16,"Tracy R. Lewis","David E. M. Sappington","","","","OtherAuthor","OtherAuthor","","","",2
"2869","Informal Insurance Arrangements with Limited Commitment: Theory and Evidence fro",5,69,1,36,"Tim Worrall","Ethan Ligon","Jonathan P. Thomas","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2870","Informal Job Search and Black Youth Unemployment",1,77,3,7,"Harry J. Holzer","","","","","OtherAuthor","","","","",1
"2871","Informal Regulation of Industrial Pollution in Developing Countries: Evidence fr",2,104,6,14,"Sheoli Pargal","David Wheeler","","","","OtherAuthor","OtherAuthor","","","",2
"2872","Information Acquisition and Efficient Mechanism Design",4,70,3,27,"Dirk Bergemann","Juuso Valimaki","","","","Bergemann","OtherAuthor","","","",2
"2873","Information Acquisition in a Noisy Rational Expectations Economy",4,50,6,16,"Robert E. Verrecchia","","","","","OtherAuthor","","","","",1
"2874","Information Acquisition in Auctions",4,68,1,14,"Nicola Persico","","","","","Persico","","","","",1
"2875","Information Acquisition in Financial Markets",5,67,1,12,"Gadi Barlevy","Pietro Veronesi","","","","Barlevy","OtherAuthor","","","",2
"2876","Information Aggregation and Policy",5,49,1,12,"Laurence Weiss","","","","","OtherAuthor","","","","",1
"2877","Information Aggregation in an Experimental Market",4,58,2,39,"Robert Forsythe","Russell Lundholm","","","","Forsythe","OtherAuthor","","","",2
"2878","Information Aggregation in Common Value Auctions",4,70,4,8,"Ilan Kremer","","","","","OtherAuthor","","","","",1
"2879","Information Aggregation Through Costly Political Action",1,84,3,13,"Susanne Lohmann","","","","","OtherAuthor","","","","",1
"2880","Information Aggregation, Inflation, and the Pricing of Indexed Bonds",2,93,1,23,"Gur Huberman","G. William Schwert","","","","OtherAuthor","OtherAuthor","","","",2
"2881","Information Aggregation, Security Design, and Currency Swaps",2,110,3,26,"Bhagwan Chowdhry","Mark Grinblatt","David Levine","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2882","Information and Incentives: The Agency Information Problem",5,49,3,18,"Froystein Gjesdal","","","","","OtherAuthor","","","","",1
"2883","Information and the Change in the Paradigm in Economics",1,92,3,42,"Joseph E. Stiglitz","","","","","OtherAuthor","","","","",1
"2884","Information and Timing in Repeated Partnerships",4,59,6,21,"Dilip Abreu","Paul Milgrom","David Pearce","","","Abreu","Milgrom","pearce6","","",3
"2885","Information Cascades in the Laboratory",1,87,5,16,"Lisa R. Anderson","Charles A. Holt","","","","OtherAuthor","Holt24","","","",2
"2886","Information Cascades: Replication and an Extension to Majority Rule and Conformi",1,91,5,13,"Angela A. Hung","Charles R. Plott","","","","OtherAuthor","Plott","","","",2
"2887","Information Costs and Incentives to Shirk: Disability Compensation of Air Traffi",1,72,5,15,"Michael E. Staten","John Umbeck","","","","OtherAuthor","OtherAuthor","","","",2
"2888","Information Costs, Duration of Search, and Turnover: Theory and Applications,",2,89,6,20,"Louis L. Wilde","","","","","OtherAuthor","","","","",1
"2889","Information Externalities in the Labour Market and the Duration of Unemployment",5,58,4,21,"Ben Lockwood","","","","","OtherAuthor","","","","",1
"2890","Information Gatekeepers on the Internet and the Competitiveness of Homogeneous P",1,91,3,21,"Michael R. Baye","John Morgan","","","","OtherAuthor","OtherAuthor","","","",2
"2891","Information Impact and Allocation Rules in Auctions with Affiliated Private Valu",4,55,6,30,"John H. Kagel","Ronald M. Harstad","Dan Levin","","","KAGEL32","OtherAuthor","LEVIN32","","",3
"2892","Information in Production",4,50,5,20,"Glenn M. MacDonald","","","","","OtherAuthor","","","","",1
"2893","Information Management in Incentive Problems",2,105,4,26,"Tracy R. Lewis","David E. M. Sappington","","","","OtherAuthor","OtherAuthor","","","",2
"2894","Information Matrix Test, Parameter Heterogeneity and ARCH: A Synthesis",5,60,1,12,"Anil K. Bera","Sangkyu Lee","","","","Bera","OtherAuthor","","","",2
"2895","Information Reliability and a Theory of Financial Intermediation",5,51,3,18,"Ram T. S. Ramakrishnan","Anjan V. Thakor","","","","OtherAuthor","OtherAuthor","","","",2
"2896","Information Revelation and Market Incompleteness",5,67,3,17,"Rohit Rahi","Jose m. Marin","","","","OtherAuthor","OtherAuthor","","","",2
"2897","Information Revelation and Strategic Delay in a Model of Investment",4,62,5,21,"Christophe Chamley","Douglas Gale","","","","CHAMLEY","Gale17","","","",2
"2898","Information Revelation in a Market with Pairwise Meetings",4,58,1,23,"Asher Wolinsky","","","","","Wolinsky","","","","",1
"2899","Information Sharing and Competition in the Motor Vehicle Industry",2,107,6,39,"Maura P. Doyle","Christopher M. Snyder","","","","OtherAuthor","OtherAuthor","","","",2
"2900","Information Sharing in Oligopoly",4,53,2,16,"Esther Gal-Or","","","","","OtherAuthor","","","","",1
"2901","Information Technology and the U.S. Economy",1,91,1,32,"Dale W. Jorgenson","","","","","Jorgenson1","","","","",1
"2902","Information Technology and the U.S. Productivity Revival: What Do the Industry D",1,92,5,18,"Kevin J. Stiroh","","","","","OtherAuthor","","","","",1
"2903","Information Technology, Workplace Organization, and the Demand for Skilled Labor",3,117,1,38,"Timothy F. Bresnahan","Erik Brynjolfsson","Lorin M. Hitt","","","Bresnahan","OtherAuthor","OtherAuthor","","",3
"2904","Information Theoretic Approaches to Inference in Moment Condition Models",4,66,2,25,"Guido W. Imbens","Richard H. Spady","Phillip Johnson","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2905","Information Transmission--Cournot and Bertrand Equilibria",5,53,1,8,"Esther Gal-or","","","","","OtherAuthor","","","","",1
"2906","Information, Incentives, and Organizational Mode",3,102,2,22,"Michael H. Riordan","David E. M. Sappington","","","","OtherAuthor","OtherAuthor","","","",2
"2907","Information, Multiprice Search, and Cost-of-Living Index Theory",2,95,6,17,"Paul M. Anglin","Michael R. Baye","","","","OtherAuthor","OtherAuthor","","","",2
"2908","Information, Production, and the Term Structure",2,94,1,18,"Theodore E. Day","","","","","OtherAuthor","","","","",1
"2909","Information, the Dual Economy, and Development",5,65,4,23,"Abhijit V. Banerjee","Andrew F. Newman","","","","Banerjee","OtherAuthor","","","",2
"2910","Information-Aggregation Bias",1,82,3,12,"Marvin Goodfriend","","","","","OtherAuthor","","","","",1
"2911","Informational Alliances",5,66,4,26,"David P. Baron","David Besanko","","","","OtherAuthor","OtherAuthor","","","",2
"2912","Informational and Performance Properties of a Class of Iterative Planning Proced",5,51,4,17,"Simon Clark","","","","","OtherAuthor","","","","",1
"2913","Informational Constraints and the Overlapping Generations Model: Folk and Anti-F",5,65,1,15,"V. Bhaskar","","","","","OtherAuthor","","","","",1
"2914","Informational Cycles",5,61,1,14,"Joseph Zeira","","","","","OtherAuthor","","","","",1
"2915","Informational Externalities and Welfare-Reducing Speculation",2,95,6,23,"Jeremy C. Stein","","","","","Stein1","","","","",1
"2916","Informational Implications of Interest Rate Rules",1,76,1,10,"Michael Dotsey","Robert G. King","","","","OtherAuthor","KING21","","","",2
"2917","Informational Size and Incentive Compatibility",4,70,6,33,"Richard McLean","Andrew Postlewaite","","","","OtherAuthor","Postlewaite","","","",2
"2918","Informative Advertising with Differentiated Products",5,51,1,19,"Gene M. Grossman","Carl Shapiro","","","","Grossman5","Shapiro7","","","",2
"2919","Informative Price Advertising in a Sequential Search Model",4,61,3,30,"Jacques Robert","Dale O. Stahl II","","","","OtherAuthor","Stahl","","","",2
"2920","Informed Speculation with Imperfect Competition",5,56,3,39,"Albert S. Kyle","","","","","OtherAuthor","","","","",1
"2921","Infrastructure, Growth and the Two Dimensions of Industrial Policy",5,62,1,25,"Moshe Justman","","","","","OtherAuthor","","","","",1
"2922","Ingredients of Famine Analysis: Availability and Entitlements",3,96,3,32,"Amartya Sen","","","","","Sen","","","","",1
"2923","Innovation and Bureaucracy under Soft and Hard Budget Constraints",5,65,1,14,"Yingyi Qian","Chenggang Xu","","","","Qian","OtherAuthor","","","",2
"2924","Innovation and Communication: Signalling with Partial Disclosure",5,50,2,16,"Sudipto Bhattacharya","Jay R. Ritter","","","","OtherAuthor","OtherAuthor","","","",2
"2925","Innovation and Imitation in a Duopoly",5,52,1,8,"Jean-Pierre Benoit","","","","","Benoit","","","","",1
"2926","Innovation and Industry Evolution",3,100,1,19,"Jennifer F. Reinganum","","","","","OtherAuthor","","","","",1
"2927","Innovation and Reputation",2,96,4,25,"Robert A. Miller","","","","","OtherAuthor","","","","",1
"2928","Innovation in Large and Small Firms: An Empirical Analysis",1,78,4,13,"Zoltan J. Acs","David B. Audretsch","","","","OtherAuthor","OtherAuthor","","","",2
"2929","Innovation, Imitation, and Economic Growth",2,99,4,21,"Paul S. Segerstrom","","","","","OtherAuthor","","","","",1
"2930","Innovation, Imitation, and Intellectual Property Rights",4,61,6,34,"Elhanan Helpman","","","","","Helpman","","","","",1
"2931","Innovation, Market Structure, and Welfare",1,74,3,10,"Pankaj Tandon","","","","","TANDON","","","","",1
"2932","Input Chains and Industrialization",5,69,3,23,"Antonio Ciccone","","","","","OtherAuthor","","","","",1
"2933","Input Market Price Discrimination and the Choice of Technology",1,80,5,8,"Patrick DeGraba","","","","","OtherAuthor","","","","",1
"2934","Input Measurement and Productivity Growth in Japanese and U.S. Manufacturing",1,73,5,21,"J. R. Norsworthy","David H. Malmquist","","","","OtherAuthor","OtherAuthor","","","",2
"2935","Input Price Shocks and the Slowdown in Economic Growth: The Case of U.K. Manufac",5,49,5,27,"Michael Bruno","Jeffrey Sachs","","","","OtherAuthor","SACHS","","","",2
"2936","Input-Output Analysis and Technical Change",4,51,3,14,"John Craven","","","","","OtherAuthor","","","","",1
"2937","Insecure Property Rights and Government Ownership of Firms",3,113,2,30,"Jiahua Che","Yingyi Qian","","","","Che","Qian","","","",2
"2938","Insider Ownership and the Decision to Go Public",5,62,3,24,"Luigi Zingales","","","","","OtherAuthor","","","","",1
"2939","Insider Trading in a Rational Expectations Economy",1,80,5,20,"Lawrence M. Ausubel","","","","","Ausubel","","","","",1
"2940","Insider Trading without Normality",5,61,1,22,"Jean-Charles Rochet","Jean-Luc Vila","","","","OtherAuthor","OtherAuthor","","","",2
"2941","Insider Trading: Should It Be Prohibited?",2,100,4,29,"Hayne E. Leland","","","","","OtherAuthor","","","","",1
"2942","Insiders, Outsiders, and Nominal Wage Contracts",2,100,2,19,"Nils Gottfries","","","","","OtherAuthor","","","","",1
"2943","Installed Base and Compatibility: Innovation, Product Preannouncements, and Pred",1,76,5,16,"Joseph Farrell","Garth Saloner","","","","Farrell7","OtherAuthor","","","",2
