Field1,Field2,Field3,Time
BERNARD WEINER,Bernard Weiner,UCLA Department of Psychology,Cited by 96004
NEIL WEINSTEIN,Neil Weinstein,"Professor Emeritus, Rutgers University",Cited by 38936
HOWARD WEISS,Howard ,"Professor Emeritus of Psychology,  Purdue University",Cited by 27058
DAVID WEISS,,,David Weiss - Verified email at iastate.edu - Cited by 35767
JOHN WEISZ,John ,"Professor, Harvard Uhiversity",Cited by 59194
HENRY WELLMAN,Henry ,University of Michigan,Cited by 56350
CARA WELLMAN,Cara ,"Professor of Psychological & Brain Sciences, Indiana University",Cited by 7235
MICHAEL WERTHEIMER,Michael ,Polytechnique Montréal,Cited by 15474
MICHAEL WESTERMAN,Michael Westerman,"Adjunct Professor, Department of Ecology Environment and Evolution, La Trobe University",Cited by 6784
MARK A. WHISMAN,Mark ,University of Colorado Boulder,Cited by 18666
SUSAN WHITBOURNE,Susan ,University of Massachusetts Amherst,Cited by 10944
PATSY WHITE,Patricia White,"Associate Professor of Neuroscience, University of Rochester School of Medicine and",Cited by 2482
SARAH WHITE,,,Sarah C. White - Verified email at bath.ac.uk - Cited by 11571
ELIZABETH WIERBA,Elizabeth Wierba,Verified email at umich.edu,
RAND WILCOX,Rand Wilcox,"Professor Department of Psychology, University of Southern California",Cited by 18168
WALTER WILCZYNSKI,Walter Wilczynski,"Professor of Neuroscience, Georgia State University",Cited by 8057
DAVID WILDER,David Wilder,"Professor of Biomedical Engineering, University of Iowa",Cited by 10452
ERIK WILLCUTT,Erik Willcutt,University of Colorado Boulder,Cited by 33931
CHRISTINA WILLIAMS,,,Christina L. Williams - Verified email at psych.duke.edu - Cited by 8796
CEDRIC WILLIAMS,Cedric Williams,University of Virginia,Cited by 2790
BEN WILLIAMS,,,Ben Williams - Verified email at duke.edu - Cited by 12112
DAVID WILLIAMS,,,David R Williams - Verified email at hsph.harvard.edu - Cited by 126190
